machine_id,accession,object_id,title_en,title_zh,object_url,direct_image_url,filename_safe,public_domain,downloadable
MET:2025.389,2025.389,911879,Twenty-Eight Constellations Battle at Kunyang,二十八宿鬧昆陽,https://www.metmuseum.org/art/collection/search/911879,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911879/2319056/main-image,MET_2025_389_911879.jpg,1,1
MET:2025.390,2025.390,911881,Scenic View of Yueyang Tower,岳陽樓勝景,https://www.metmuseum.org/art/collection/search/911881,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911881/2319054/main-image,MET_2025_390_911881.jpg,1,1
MET:2025.391,2025.391,911887,Two Beauties Enjoy a Butterfly,雙美賞蝶,https://www.metmuseum.org/art/collection/search/911887,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911887/2318997/main-image,MET_2025_391_911887.jpg,1,1
MET:2025.392,2025.392,911889,The Herd Boy and the Weaving Maiden,牛郎織女,https://www.metmuseum.org/art/collection/search/911889,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911889/2318995/main-image,MET_2025_392_911889.jpg,1,1
MET:2025.393,2025.393,911890,A Prevailing Mood of Harmony,一團和氣,https://www.metmuseum.org/art/collection/search/911890,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911890/2318993/main-image,MET_2025_393_911890.jpg,1,1
MET:2025.395,2025.395,911892,Parrot on a Peach Branch,桃花鸚鵡圖,https://www.metmuseum.org/art/collection/search/911892,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911892/2325492/main-image,MET_2025_395_911892.jpg,1,1
MET:2025.396,2025.396,911893,Zhaojun Leaves for the North,昭君出塞,https://www.metmuseum.org/art/collection/search/911893,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911893/2325491/main-image,MET_2025_396_911893.jpg,1,1
MET:2025.397,2025.397,911897,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,https://www.metmuseum.org/art/collection/search/911897,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911897/2320614/main-image,MET_2025_397_911897.jpg,1,1
MET:2025.398,2025.398,911898,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,https://www.metmuseum.org/art/collection/search/911898,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911898/2320613/main-image,MET_2025_398_911898.jpg,1,1
MET:2025.399,2025.399,911900,Satirical Prints of Suzhou Customs,蘇州風俗諷刺畫,https://www.metmuseum.org/art/collection/search/911900,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911900/2320612/main-image,MET_2025_399_911900.jpg,1,1
MET:2025.400,2025.400,911904,Two Beauties Picking Dates,雙美採棗圖,https://www.metmuseum.org/art/collection/search/911904,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911904/2320611/main-image,MET_2025_400_911904.jpg,1,1
MET:2025.401,2025.401,911907,Print in Western Style with Western Text,丁氏仿泰西筆意墨線版畫,https://www.metmuseum.org/art/collection/search/911907,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911907/2320610/main-image,MET_2025_401_911907.jpg,1,1
MET:2025.402,2025.402,911909,Scenic Spots of Zhenjiang,鎮江胜境,https://www.metmuseum.org/art/collection/search/911909,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911909/2320655/main-image,MET_2025_402_911909.jpg,1,1
MET:2025.403,2025.403,911910,The Beautiful Scenery of West Lake,西湖勝景,https://www.metmuseum.org/art/collection/search/911910,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911910/2320654/main-image,MET_2025_403_911910.jpg,1,1
MET:2025.405,2025.405,911912,Two Ladies Playing Music,雙美奏樂圖,https://www.metmuseum.org/art/collection/search/911912,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911912/2320653/main-image,MET_2025_405_911912.jpg,1,1
MET:2025.406,2025.406,911913,Beauty and a Cat,美人貓圖,https://www.metmuseum.org/art/collection/search/911913,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911913/2329869/main-image,MET_2025_406_911913.jpg,1,1
MET:2025.407,2025.407,911914,Gold Coins Cover the Ground,遍地金錢,https://www.metmuseum.org/art/collection/search/911914,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911914/2320652/main-image,MET_2025_407_911914.jpg,1,1
MET:2025.408,2025.408,911916,Scenes from the First Part of Pearl Pagoda,珍珠塔前本,https://www.metmuseum.org/art/collection/search/911916,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911916/2320650/main-image,MET_2025_408_911916.jpg,1,1
MET:2025.409,2025.409,911918,Scenes from Second Part of Generals of the Yang Family,杨家将後,https://www.metmuseum.org/art/collection/search/911918,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911918/2320649/main-image,MET_2025_409_911918.jpg,1,1
MET:2025.410,2025.410,911920,A Newly-Cut Print : Scenes from the Second Part of Outlaws of the Marsh,新刻後水滸,https://www.metmuseum.org/art/collection/search/911920,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911920/2320648/main-image,MET_2025_410_911920.jpg,1,1
MET:2025.411,2025.411,911921,A Newly-Cut Print : Scenes from the First Part of Record of The Three Kingdoms,新刻三國誌前傳,https://www.metmuseum.org/art/collection/search/911921,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911921/2320647/main-image,MET_2025_411_911921.jpg,1,1
MET:2025.412,2025.412,911923,A Newly-Cut Print of Illustrations from The Classic of Mountains and Seas,新刻山海經全圖,https://www.metmuseum.org/art/collection/search/911923,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911923/2320646/main-image,MET_2025_412_911923.jpg,1,1
MET:2025.413,2025.413,911925,Rebellion Against the Celestial Court,逆犯天朝,https://www.metmuseum.org/art/collection/search/911925,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911925/2320635/main-image,MET_2025_413_911925.jpg,1,1
MET:2025.415,2025.415,911929,Picking Tea in Autumn Heat,採茶秋熟,https://www.metmuseum.org/art/collection/search/911929,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911929/2320634/main-image,MET_2025_415_911929.jpg,1,1
MET:2025.416,2025.416,911931,Story of The Western Chamber,西廂記圖,https://www.metmuseum.org/art/collection/search/911931,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911931/2325770/main-image,MET_2025_416_911931.jpg,1,1
MET:2025.417,2025.417,911936,Second part of The Story of the Lute,清乾隆 種墨齋印刷 琵琶記後序 版畫,https://www.metmuseum.org/art/collection/search/911936,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911936/2319145/main-image,MET_2025_417_911936.jpg,1,1
MET:2025.418,2025.418,911938,View of Putuoshan on the Southern Sea,南海普陀山境,https://www.metmuseum.org/art/collection/search/911938,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911938/2325458/main-image,MET_2025_418_911938.jpg,1,1
MET:2025.419,2025.419,911939,View of Putuoshan on the Southern Sea,南海普陀山境,https://www.metmuseum.org/art/collection/search/911939,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911939/2325387/main-image,MET_2025_419_911939.jpg,1,1
MET:2025.420,2025.420,911944,Spring Morning in the Han Palace,漢宫春曉,https://www.metmuseum.org/art/collection/search/911944,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911944/2320633/main-image,MET_2025_420_911944.jpg,1,1
MET:2025.423,2025.423,911947,A Hunt on the Plains,平原圍獵,https://www.metmuseum.org/art/collection/search/911947,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911947/2325383/main-image,MET_2025_423_911947.jpg,1,1
MET:2025.427,2025.427,911961,The Jade Hairpin,玉簪記,https://www.metmuseum.org/art/collection/search/911961,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911961/2326900/main-image,MET_2025_427_911961.jpg,1,1
MET:2025.428,2025.428,913059,Amorous scene,,https://www.metmuseum.org/art/collection/search/913059,https://collectionapi.metmuseum.org/api/collection/v1/iiif/913059/2326899/main-image,MET_2025_428_913059.jpg,1,1
MET:2025.430,2025.430,911973,Stone Lake In Suzhou : An Emulation of ‘Famous Scenes of West Lake’,姑蘇石湖倣西湖勝景,https://www.metmuseum.org/art/collection/search/911973,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911973/2325380/main-image,MET_2025_430_911973.jpg,1,1
MET:2025.431,2025.431,911976,Second Part of Tale of Washing the Silken Gauze,浣紗記後,https://www.metmuseum.org/art/collection/search/911976,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911976/2319139/main-image,MET_2025_431_911976.jpg,1,1
MET:2025.432,2025.432,911977,Children and Grandchildren Bring Fortune and Prosperity. The Eight Barbarians Bring Tribute,兒孫福祿 八蛮進寶,https://www.metmuseum.org/art/collection/search/911977,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911977/2325636/main-image,MET_2025_432_911977.jpg,1,1
MET:2025.433,2025.433,911978,The Character Fu,福字,https://www.metmuseum.org/art/collection/search/911978,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911978/2325635/main-image,MET_2025_433_911978.jpg,1,1
MET:2025.434,2025.434,911980,Lady Holding a Brush,仕女執筆圖,https://www.metmuseum.org/art/collection/search/911980,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911980/2325634/main-image,MET_2025_434_911980.jpg,1,1
MET:2025.436,2025.436,911982,The Beautiful Scenery of Famous Mount Putuo on the Southern Sea,南海普陀名山勝景,https://www.metmuseum.org/art/collection/search/911982,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911982/2319137/main-image,MET_2025_436_911982.jpg,1,1
MET:2025.437,2025.437,911983,Complete Geographical Map of the Everlasting Unified Qing Empire,大清萬年一統地理全圖,https://www.metmuseum.org/art/collection/search/911983,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911983/2325940/main-image,MET_2025_437_911983.jpg,1,1
MET:2025.438,2025.438,911984,Promoting Officials,陞官圖,https://www.metmuseum.org/art/collection/search/911984,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911984/2320629/main-image,MET_2025_438_911984.jpg,1,1
MET:2025.439,2025.439,911987,Eight Immortals and Twelve Zodiac Animals,八仙十二生肖圖,https://www.metmuseum.org/art/collection/search/911987,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911987/2325627/main-image,MET_2025_439_911987.jpg,1,1
MET:2025.797.1,2025.797.1,911815,One Hundred Boys,百子图,https://www.metmuseum.org/art/collection/search/911815,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911815/2477255/main-image,MET_2025_797_1_911815.jpg,1,1
MET:2025.797.2,2025.797.2,911886,Stand Alone on the Tortoise Head (Duzhan aotou),獨佔鰲頭,https://www.metmuseum.org/art/collection/search/911886,https://collectionapi.metmuseum.org/api/collection/v1/iiif/911886/2477253/main-image,MET_2025_797_2_911886.jpg,1,1
