wmc_evidence_category,wmc_anchor,article_id,bna_id,publication_date,publication_title,publication_place,page_number,free_to_view,article_type,title,snippet,preview_url
museum_specimen_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0004596/18730103/046,BL/0004596/18730103/046__f41967f0b8900c54d3c68f6e753ab564,1873-01-03,Echo (London),"London, London, England",6,False,ARTICLE,POLITICAL AND GENERAL NEWS.,"the Working Men's College was held last evening at their house in Great Ormond-street, when the members, with their wives and daughters, sat down to tea. The new rooms, i the rear of the old house, were tastily de‘corated with specimens of art work, executed",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0004596%2F18730103&page=0006&article=046&stringtohighlight=working+men%27s+college
microscopy_display,Great Ormond Street / London WMC (manual priority selection),BL/0001652/18730103/015,BL/0001652/18730103/015__be30d70d2485c671da9dc595e9bde105,1873-01-03,Globe,"London, London, England",3,False,ARTICLE,WORKING MEN'S COLLEGE.,"WORKING MEN'S COLLEGE. A convereazione took place last night in the new buildings of this college in Great Ormond-street. The programme included some excellent glee singing by the college choir, numbering about fifty voices, an exhibition of microscopical",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001652%2F18730103&page=0003&article=015&stringtohighlight=working+men%27s+college
botany_physiology_teaching,Great Ormond Street / London WMC (manual priority selection),BL/0000054/18730412/003,BL/0000054/18730412/003__bb790366f848d9e90eec9d7b02e0f5e8,1873-04-12,The Examiner,"London, London, England",10,True,ARTICLE,LITERARY.,"Murby's "" Science and Art Depart ment "" series of text-books is written by Mr Alfred Grugeon, Lecturer on Botany to the Working Men's College, Great Ormond-street. THE SOCIETY OF BRITISH ARTISTS. The exhibition now on view in the Suffolk-street Gallery is the",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0000054%2F18730412&page=0010&article=003&stringtohighlight=working+men%27s+college
museum_specimen_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0002616/18740110/093,BL/0002616/18740110/093__72202958bea19fa2e9c83f9c28d345d1,1874-01-10,Tamworth Miners' Examiner and Working Men's Journal,"Tamworth, Staffordshire, England",8,True,ARTICLE,"MASTERS AND THEIR SERVANTS AND WORFILEF. To the Sciitar qf Mook•SitatliMln""","Wellington. Miners Agent. WORKING MEN'S COLLEGE IN LONDON.—On Friday night last the annual winter's conversnxione of the friends and members of the college was held in Great Ormond-street. In the ante-rooms were specimens of the work of the students, which",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0002616%2F18740110&page=0008&article=093&stringtohighlight=working+men%27s+college
field_club_museum_specimen,Great Ormond Street / London WMC (manual priority selection),BL/0006027/18740131/078,BL/0006027/18740131/078__d9e7ea40ba9f53db6de6d1a900a02fa1,1874-01-31,Academy,"London, London, England",24,False,ARTICLE,"had attacked forty-five of the prisoners, of whom fifteen had died. On Christmas DQK the lists ~showed eighty-three deaths and","History Society and Field Club of the Working Men's College, Great Ormond Street, announce for their next month's work: Feb. 3, Lecture by H. G. Seeley, Esq., F.L.S,, on the Method of Studying Geology ; Feb. 10, Museum work, Mounting Specimens, &c.; Feb, 17",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0006027%2F18740131&page=0024&article=078&stringtohighlight=working+men%27s+college
field_club_museum_specimen,Great Ormond Street / London WMC (manual priority selection),BL/0006027/18740613/064,BL/0006027/18740613/064__a9dbc20147b78c46d695f61be23f99b4,1874-06-13,Academy,"London, London, England",20,False,ARTICLE,668,"scientific men in Bavaria and Russia. Tue Working Men’s College Natural History Society and Field Club’s scheme of work for this month is: Lectures, &e. (Tuesdays, at 8 p.m.)— 16th, Mr. J. A. Foster, on “ Actina;” 2nd, 9th, and 23rd, Museum Work (naming",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0006027%2F18740613&page=0020&article=064&stringtohighlight=working+men%27s+college
botany_physiology_teaching,Great Ormond Street / London WMC (manual priority selection),BL/0002249/18751002/072,BL/0002249/18751002/072__36378d4a34350eaf7cb03bc95d7618aa,1875-10-02,Bee-Hive,"London, London, England",16,True,ARTICLE,"WORKING MEN'S COLLEGE, 45, GREAT ORMOND STREET, W.C. OPENING MEETING, Monday, October 4th, at 8.30 p.m","WORKING MEN'S COLLEGE, 45, GREAT ORMOND STREET, W.C. OPENING MEETING, Monday, October 4th, at 8.30 p.m On Saturday, October 9th, at 830 p m., Mr. B. T. LOWNE, F.R.0.8., Lecturer on Physiology at the Mielelona Respite', will deliver the first cf a ccurse",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0002249%2F18751002&page=0016&article=072&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0005049/18940414/030,BL/0005049/18940414/030__ec71a83b8d10e6d60574c545baba8e68,1894-04-14,London Daily Chronicle,"London, London, England",3,False,ARTICLE,TO-DAY. Mol o],"meoting at the Memorial Hall ; illustrations of « new method of teaching music by Professor Bridge, Mus. Doe., 3. Working Men's College, Great Ormond-street— Mr. Charters White, M.R.C. 8., on ** Microscopical Observation,” at 46, Great Ormondstreet, 8",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0005049%2F18940414&page=0003&article=030&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0000079/18940415/120,BL/0000079/18940415/120__b19c4664dc8352a145ae845fe7f9fc7b,1894-04-15,Lloyd's Weekly Newspaper,"London, London, England",9,True,ARTICLE,MICROSCOPICAL MARVELS.,"MICROSCOPICAL MARVELS. At the Working Men's college last night Mr. T. Charter' White lectured on 1"" Microscopical Observation,"" in which the expoeitor promotly, as his remarks went on, proved hinr•olf an adept. A I most entertaining chapter in tho scientific",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0000079%2F18940415&page=0009&article=120&stringtohighlight=working+men%27s+college
laboratory_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0001485/18981128/016,BL/0001485/18981128/016__b494c2ccf8f6086a2249d8617154e2d6,1898-11-28,St James's Gazette,"London, London, England",4,False,ARTICLE,ST. JAMES’S GAZETTE.,"towards the Working Men’s College in Great Ormond-street, which stands in immediate need of a large hall for meetings, better class-rooms, a laboratory, and a gymnasium. Of the £15,000 needed for these, and for the maintenance of the College, about one-fifth",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0001485%2F18981128&page=0004&article=016&stringtohighlight=working+men%27s+college
laboratory_infrastructure,Great Ormond Street / London WMC (manual priority selection),BL/0000902/19001207/024,BL/0000902/19001207/024__af64eb9afb030b0af41784841f7fc402,1900-12-07,South Wales Echo,"Cardiff, Glamorgan, Wales",3,False,ARTICLE,"""TOM HUGHES"" MEMORIAL.","presided at a meeting in the Great Ormond-street Working Men's College to consider a scheme for the erection of additional buildings as a memorial to Mr Thomas Hughes, a former principal of the college. Lecture rooms and a laboratory, said Professor Dicey",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0000902%2F19001207&page=0003&article=024&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0000174/19101203/064,BL/0000174/19101203/064__9ab8707cf9f848904fcd88c619af6f13,1910-12-03,Morning Post,"London, London, England",4,False,ARTICLE,ARRANGEMENTS. A,"Viscountess Esher, Hesdquarters, Iverna-gardens, 8. 6th City of London Rifles—Prise Distribution by Lord Mayor, 6. Working Men's College—Dr. A. Hill on “ Man Under the Microscope,’’ 8. Metropolitan Asylums Board—Meeting, 11. General Election—First polling",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0000174%2F19101203&page=0004&article=064&stringtohighlight=working+men%27s+college
microscopy_practice_or_public_lecture,Great Ormond Street / London WMC (manual priority selection),BL/0006131/19111210/171,BL/0006131/19111210/171__22e61a8cfed76bcb942695376340a8fb,1911-12-10,Weekly Times & Echo (London),"London, London, England",12,False,ARTICLE,ANSWERS TO GENERAL QUERIES.,"has helped of wean masses of men from one of the best forms exercise that can be taken. 1 NATURALIST (Hiflmnte).—The best way to learn ! ’ use of the microscope is to join a class in bottgl or zoology. The working men’s college is """"'”r"",‘».,' and has such",https://www.britishnewspaperarchive.com/image-viewer?issue=BL%2F0006131%2F19111210&page=0012&article=171&stringtohighlight=working+men%27s+college
