machine_id,accession,object_id,title_en,title_zh,culture,period,object_date,medium,dimensions,classification,department,credit_line,public_domain,object_url,api_url,primary_image,primary_image_small,additional_image_count,additional_images,source_merge,range_352_460_member,working_107_member,boundary_role,book_match_status,working_core_hypothesis,preferred_download_url,download_status
MET:2025.364,2025.364,911836,Ten Views of West Lake,,"China, Suzhou","Qing dynasty (1644–1911), Yongzheng–Qianlong period (1723–95)",,Woodblock print; ink on paper,"Image: 43 × 20 1/8 in. (109.2 × 51.1 cm)
Framed: 44 1/8 × 20 7/8 in. (112.1 × 53 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911836,https://collectionapi.metmuseum.org/public/collection/v1/objects/911836,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41821-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41821-001.jpg,official_original_public_domain
MET:2025.365,2025.365,911838,Lady with Boys Playing Instruments,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 29 1/8 × 19 1/8 in. (74 × 48.6 cm)
Overall with mounting: 32 3/8 × 21 5/8 in. (82.2 × 54.9 cm)",Prints,Asian Art,"Purchase, Bequest of Isaac D. Fletcher, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911838,https://collectionapi.metmuseum.org/public/collection/v1/objects/911838,https://images.metmuseum.org/CRDImages/as/original/DP-41446-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41446-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41446-001.jpg,official_original_public_domain
MET:2025.366,2025.366,911839,One Hundred Longevity Characters,,"China, Suzhou",Ming dynasty (1368–1644)?,,Woodblock print; ink and color on paper,"Image: 48 5/16 × 20 11/16 in. (122.7 × 52.5 cm)
Sheet: 48 5/16 × 20 11/16 in. (122.7 × 52.5 cm)",Prints,Asian Art,"Purchase, Rogers Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911839,https://collectionapi.metmuseum.org/public/collection/v1/objects/911839,https://images.metmuseum.org/CRDImages/as/original/DP-41270-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41270-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41270-001.jpg,official_original_public_domain
MET:2025.367,2025.367,911843,Character meaning “good fortune”,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",18th century,Woodblock print; ink on paper with additional hand coloring,"Image: 36 15/16 × 21 5/8 in. (93.8 × 54.9 cm)
Overall with mounting: 36 15/16 × 21 5/8 in. (93.8 × 54.9 cm)",Prints,Asian Art,"Purchase, Bequest of Robert West, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911843,https://collectionapi.metmuseum.org/public/collection/v1/objects/911843,https://images.metmuseum.org/CRDImages/as/original/DP-41271-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41271-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41271-001.jpg,official_original_public_domain
MET:2025.368,2025.368,911846,Magu Bestows Longevity,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 38 9/16 × 23 1/2 in. (97.9 × 59.7 cm)
Sheet: 38 7/8 × 23 5/8 in. (98.7 × 60 cm)",Prints,Asian Art,"Purchase by subscription, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911846,https://collectionapi.metmuseum.org/public/collection/v1/objects/911846,https://images.metmuseum.org/CRDImages/as/original/DP-41272-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41272-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41272-001.jpg,official_original_public_domain
MET:2025.369,2025.369,911847,Five Boys Competing for Distinction,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 43 3/16 × 22 7/8 in. (109.7 × 58.1 cm)
Overall with mounting: 43 3/16 × 22 7/8 in. (109.7 × 58.1 cm)",Prints,Asian Art,"Purchase, Robert Hatfield Ellsworth Bequest, 2025",1,https://www.metmuseum.org/art/collection/search/911847,https://collectionapi.metmuseum.org/public/collection/v1/objects/911847,https://images.metmuseum.org/CRDImages/as/original/DP-41273-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41273-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41273-001.jpg,official_original_public_domain
MET:2025.370,2025.370,911849,Basin of Accumulated Treasures,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",18th century,Woodblock print; ink on paper with additional hand coloring,"Image: 41 3/8 × 21 1/2 in. (105.1 × 54.6 cm)
Overall with mounting: 41 7/8 × 22 in. (106.4 × 55.9 cm)",Prints,Asian Art,"Purchase, C.C. Wang Family Fund Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911849,https://collectionapi.metmuseum.org/public/collection/v1/objects/911849,https://images.metmuseum.org/CRDImages/as/original/DP-41274-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41274-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41274-001.jpg,official_original_public_domain
MET:2025.371,2025.371,911850,View of Putuoshan on the Southern Sea,,"China, Suzhou","Qing dynasty (1644–1911), Jiaqing period (1796–1820)",,Woodblock print; ink on paper with additional hand coloring,"Image: 22 7/8 × 42 1/16 in. (58.1 × 106.8 cm)
Overall with mounting: 22 7/8 × 42 1/16 in. (58.1 × 106.8 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Harry Payne Bingham, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911850,https://collectionapi.metmuseum.org/public/collection/v1/objects/911850,https://images.metmuseum.org/CRDImages/as/original/DP-41275-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41275-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41275-001.jpg,official_original_public_domain
MET:2025.372,2025.372,911851,One Hundred Boys,百子图,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 40 3/8 × 22 7/16 in. (102.6 × 57 cm)
Overall with mounting: 40 3/8 × 22 7/16 in. (102.6 × 57 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911851,https://collectionapi.metmuseum.org/public/collection/v1/objects/911851,https://images.metmuseum.org/CRDImages/as/original/DP-41276-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41276-001.jpg,0,,prior_successful_api_fallback_after_transient_403,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41276-001.jpg,official_original_public_domain
MET:2025.373,2025.373,911852,A Record of Tiger Hill in Suzhou,,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",18th century,Woodblock print; ink on paper with additional hand coloring,"Image: 40 1/8 × 21 1/8 in. (101.9 × 53.7 cm)
Overall with mounting: 41 11/16 × 22 5/8 × 1/2 in. (105.9 × 57.5 × 1.3 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911852,https://collectionapi.metmuseum.org/public/collection/v1/objects/911852,https://images.metmuseum.org/CRDImages/as/original/DP-41277-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41277-001.jpg,0,,live_suzhou_search,1,1,H2_working_core,pending_catalogue_concordance,H2: 2025.354–2025.460 = 107 accessions,https://images.metmuseum.org/CRDImages/as/original/DP-41277-001.jpg,official_original_public_domain
