sample_id,known_visual_match,bytes,width,height,control_detects_52,control_detects_gathering_or_osmanthus,all_candidate_numbers,bird_title_detected
WENWU_776,CMA:2025.108,106200,1280,1280,NA,NA,1|2|3|4|5|7|9|20|36|58,0
WENWU_778_CONTROL,CMA:2025.84,199149,1280,960,1,1,1|2|3|4|5|6|7|8|9|10|12|14|16|18|20|22|24|25|27|28|31|34|38|44|46|49|52|55|58|65|68|70|77|85|88|95|98|110|111|119|185|198|199|254|258|281|408|539|751,NA
WENWU_780,CMA:2025.108,146781,1280,850,NA,NA,1|2|3|4|5|6|7|8|9|14|33|44|431,0
GUANGZHOU_IMG3,CMA:2025.108,76966,900,675,NA,NA,1|2|3|4|5|6|7|8|9|16|22|24|27|28|47|77|88|338|555|704,0
