machine_id,accession,working_core_base,record_type,title_en,title_zh,share_license_status,url,image_web,image_print,image_full,preferred_download_url,preferred_download_kind
CMA:2025.21,2025.21,2025.21,object,Part of Story of The Western Chamber,一部西廂總,CC0,https://clevelandart.org/art/2025.21,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_print.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,full_tiff
CMA:2025.23,2025.23,2025.23,object,Mother and Sons,母子圖,CC0,https://clevelandart.org/art/2025.23,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_print.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,full_tiff
CMA:2025.24,2025.24,2025.24,object,A Quatrain about Peonies,牡丹一絕句,CC0,https://clevelandart.org/art/2025.24,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_print.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,full_tiff
CMA:2025.29,2025.29,2025.29,object,Rise in Rank and Attain Wealth,加官進祿,CC0,https://clevelandart.org/art/2025.29,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_print.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,full_tiff
CMA:2025.31,2025.31,2025.31,object,The Two Immortals of Harmony and Unity,和合二仙,CC0,https://clevelandart.org/art/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_print.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,full_tiff
CMA:2025.32,2025.32,2025.32,object,The Two Immortals of Harmony and Unity,和合二仙,CC0,https://clevelandart.org/art/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_print.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,full_tiff
CMA:2025.42,2025.42,2025.42,object,Lady watching a swallow,,CC0,https://clevelandart.org/art/2025.42,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_print.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,full_tiff
CMA:2025.43,2025.43,2025.43,object,Lady with water basin,,CC0,https://clevelandart.org/art/2025.43,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_web.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_print.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,full_tiff
CMA:2025.44,2025.44,2025.44,object,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,CC0,https://clevelandart.org/art/2025.44,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_web.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_print.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,full_tiff
CMA:2025.46,2025.46,2025.46,object,Gusu Beauties of the Four Seasons–Summer,四季姑蘇美人圖 - 夏,CC0,https://clevelandart.org/art/2025.46,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_web.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_print.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,full_tiff
CMA:2025.47,2025.47,2025.47,object,Gusu Beauty–Mother and Son in a Summer Pavilion,姑蘇美人 – 夏日亭畔母子圖,CC0,https://clevelandart.org/art/2025.47,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_web.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_print.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,full_tiff
CMA:2025.48,2025.48,2025.48,object,Gusu Beauties of the Four Seasons—Spring,四季姑蘇美人圖 – 春,CC0,https://clevelandart.org/art/2025.48,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_web.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_print.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,full_tiff
CMA:2025.49,2025.49,2025.49,object,Gusu Beauty–Winter,姑蘇美人 – 冬,CC0,https://clevelandart.org/art/2025.49,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_web.jpg,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_print.jpg,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_full.tif,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_full.tif,full_tiff
CMA:2025.53,2025.53,2025.53,object,Scenic View of Suzhou,姑蘇勝景,CC0,https://clevelandart.org/art/2025.53,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_web.jpg,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_print.jpg,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_full.tif,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_full.tif,full_tiff
CMA:2025.57,2025.57,2025.57,object,Two Beauties Inspect a Golden Lotus,雙美觀金蓮,CC0,https://clevelandart.org/art/2025.57,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_web.jpg,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_print.jpg,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_full.tif,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_full.tif,full_tiff
CMA:2025.60,2025.60,2025.60,object,"Picture of a Cat, a Bird, and a Crabapple",海棠綬帶富貴圖,CC0,https://clevelandart.org/art/2025.60,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_web.jpg,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_print.jpg,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_full.tif,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_full.tif,full_tiff
CMA:2025.61,2025.61,2025.61,object,"Scenic Spots of Jiangtian Temple on Jinshan, Built by Imperial Command",勅建金山江天寺勝境,CC0,https://clevelandart.org/art/2025.61,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_web.jpg,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_print.jpg,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_full.tif,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_full.tif,full_tiff
CMA:2025.72,2025.72,2025.72,object,A Newly-Cut Print of Illustrations from The Classic of Mountains and Seas,新刻山海經全圖,CC0,https://clevelandart.org/art/2025.72,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_web.jpg,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_print.jpg,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_full.tif,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_full.tif,full_tiff
CMA:2025.73,2025.73,2025.73,object,A Newly Cut Print: Scenes from the First Part of Outlaws of the Marsh,新刻前水滸,CC0,https://clevelandart.org/art/2025.73,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_web.jpg,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_print.jpg,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_full.tif,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_full.tif,full_tiff
CMA:2025.76,2025.76,2025.76,object,Li Wenzhong Clears the North,李文忠掃北,CC0,https://clevelandart.org/art/2025.76,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_web.jpg,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_print.jpg,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_full.tif,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_full.tif,full_tiff
CMA:2025.82.1,2025.82.1,2025.82,component,Westlake Panorama,西湖全景,CC0,https://clevelandart.org/art/2025.82.1,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_web.jpg,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_full.tif,full_tiff
CMA:2025.82.2,2025.82.2,2025.82,component,Westlake Panorama,西湖全景,CC0,https://clevelandart.org/art/2025.82.2,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_web.jpg,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_full.tif,full_tiff
CMA:2025.82.3,2025.82.3,2025.82,component,Westlake Panorama,西湖全景,CC0,https://clevelandart.org/art/2025.82.3,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_web.jpg,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_full.tif,full_tiff
CMA:2025.82.4,2025.82.4,2025.82,component,Westlake Panorama,西湖全景,CC0,https://clevelandart.org/art/2025.82.4,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_web.jpg,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_full.tif,full_tiff
CMA:2025.83,2025.83,2025.83,object,Music in the Jade Palace,瓊宮樂奏圖,CC0,https://clevelandart.org/art/2025.83,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_web.jpg,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_print.jpg,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_full.tif,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_full.tif,full_tiff
CMA:2025.84,2025.84,2025.84,object,Gathering Osmanthus,折桂圖,CC0,https://clevelandart.org/art/2025.84,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_web.jpg,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_print.jpg,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_full.tif,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_full.tif,full_tiff
CMA:2025.87,2025.87,2025.87,object,"Touring in Spring, Enjoying Summer",春遊夏賞,CC0,https://clevelandart.org/art/2025.87,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_web.jpg,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_print.jpg,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_full.tif,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_full.tif,full_tiff
CMA:2025.88,2025.88,2025.88,object,First Part of Story of The Western Chamber,全本西廂記,CC0,https://clevelandart.org/art/2025.88,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_web.jpg,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_print.jpg,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_full.tif,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_full.tif,full_tiff
CMA:2025.93,2025.93,2025.93,object,Happy New Year,新春樂,CC0,https://clevelandart.org/art/2025.93,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_web.jpg,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_print.jpg,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_full.tif,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_full.tif,full_tiff
CMA:2025.94,2025.94,2025.94,object,"Wife, Wealth, Sons, and a Salary",妻財子禄,CC0,https://clevelandart.org/art/2025.94,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_web.jpg,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_print.jpg,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_full.tif,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_full.tif,full_tiff
CMA:2025.97,2025.97,2025.97,object,The Fierce Battle at the Red Cliff,赤壁鏖兵圖,CC0,https://clevelandart.org/art/2025.97,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_web.jpg,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_print.jpg,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_full.tif,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_full.tif,full_tiff
CMA:2025.108,2025.108,2025.108,object,Bird on Pomegranate,石榴上的鳥兒,CC0,https://clevelandart.org/art/2025.108,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_web.jpg,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_print.jpg,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_full.tif,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_full.tif,full_tiff
CMA:2025.113,2025.113,2025.113,object,Lotus Seeds and Water Caltrops,蓮蓬和菱角,CC0,https://clevelandart.org/art/2025.113,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_web.jpg,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_print.jpg,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_full.tif,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_full.tif,full_tiff
CMA:2025.116,2025.116,2025.116,object,Grasshopper on Pomegranate,蚱蜢石榴,CC0,https://clevelandart.org/art/2025.116,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_web.jpg,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_print.jpg,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_full.tif,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_full.tif,full_tiff
