filename	size_bytes	sha256
gusu_vonderburg_manifest_v09_excel.csv	286720	6e3c2f1c474f22f50f139b5cde4363073192fe5ff33f7623670fbe7463d48587
gusu_vonderburg_manifest_v09_machine.csv	286717	ab3be1585d59aa9dea009e573c698fcb2d91adb3e6788dbdea3485392f1d727a
gusu_vonderburg_manifest_v10_bundle.zip	66899	44852e0cf8a791f1a110428d37e10f75ce9887670fc760bcce97a3a13b1e0add
gusu_vonderburg_manifest_v10_excel.csv	296234	65a8690e800b03106316ceab1c627f838155bca54354e69499d6e1d502dba2e9
gusu_vonderburg_manifest_v10_machine.csv	296231	a7d2ae74d9582ecc633fcc904b6ac795649c75913702b1631ed8abc613d12499
gusu_vonderburg_manifest_v11_bundle.zip	96856	3be84e35fc58d5e53efba1146a3ec4779f58965f33926aa75a224dfe57ab0eae
gusu_vonderburg_manifest_v11_excel.csv	389074	421683203a353db1f58f727219b5a9f3509df26782ed5b1778f6bee695d67a78
gusu_vonderburg_manifest_v11_machine.csv	389071	a89b01be47284bf49efabdbdaf5a615f097651b2f68575bf80a83f4aa409f46c
gusu_vonderburg_manifest_v12_bundle.zip	95421	6b4f460d38dd1f84146fcd3ec1471addd3bcba642dfd9fb06b735f708681b02c
gusu_vonderburg_manifest_v12_excel.csv	402608	5b9f1045c0538a8a23bc4ed73dd20f1f67b45f0cd769626812d4fa02a9231dd2
gusu_vonderburg_manifest_v12_machine.csv	402605	bde0c725fa27dd6d1165dae0bf85d36ebec7dda0c6f94c122ddcbd40217108e6
gusu_vonderburg_manifest_v13_bundle.zip	80135	6f9d73283d3e8857db61586d2c19a530ef3ae09ab022979aa036335a52857dc2
gusu_vonderburg_manifest_v13_excel.csv	406756	d5acd8f3f4f70d636ff0340722142c760b1c2c972ce18180b8138b080738f3f8
gusu_vonderburg_manifest_v13_machine.csv	406753	27631275477db2496087b985d1f66958b55aec41d0b70e7ef64ad27353698faa
gusu_vonderburg_met_v06_sequence_gaps.csv	16291	16d2d324b0547d3379fe21a5b0364a0f91589411404ac3a6765e82b5bf3ea72e
gusu_vonderburg_met_v06_verified_accessions.csv	105281	adb459ec1c100de522e71d6473ea510e0020f0a8591fc3ed1236ce67bcdb8586
gusu_vonderburg_met_v09_direct_image_summary.json	871	391efd1a281a7df074e15b76bf18479538af7561a0f9beffbfa47146facafaac
gusu_vonderburg_met_v09_direct_images.csv	67953	fa590c4d5c9d5924ff93e90c5c506abd2411099e3f669fd86164b8c9850b0d65
gusu_vonderburg_met_v09_download_manifest.csv	10106	fa7fea51bff7eea213b9ed4438707f6e4933f57e6a8c52aba12c1c97f278028d
gusu_vonderburg_met_v09_urls.txt	3400	bc51b9080c548c12ed9cdb6161a60c087b94343b863d2275097b8eab2e3e9f9e
gusu_vonderburg_met_v10_direct_image_exceptions.csv	1396	c08186602ab6c1fd9332fcb9128cc9e5867f35fa4e28b19855f52469a50b7501
gusu_vonderburg_met_v10_direct_images.csv	116900	6d20e8da2851242e43c4ceba413af756731b1e886a5816fdfb027c542bd7199f
gusu_vonderburg_met_v10_download_manifest.csv	17546	f1de4c508b0a08e32ee0bda572f50a705562128f04c0d34bed1679aa8c701f7f
gusu_vonderburg_met_v10_summary.json	789	58e1b73f2255d2d88ca7e4572c2671f98587f0ac13466092b79888399648a3ac
gusu_vonderburg_met_v10_urls.txt	5865	3ab84ac489f8eee41172545810e288e98e0ab606486d6f7d6b1b5db780ae247e
gusu_vonderburg_met_verified.csv	45050	ec2c96df53ec210d0c142fb22971cec9fd853ec745b2cdfadaa4636a0c9c361d
gusu_vonderburg_reject_log_v04.csv	562	6f0f73a7ef2df87a84a3fd752bd68b4cca2c63f1ea8d0a990fc97fb3dd309c0e
gusu_vonderburg_v05_ingest_bundle.zip	23534	850ceda780f6066f04d7f6d1be25e1cac151c5fddb27fef7e93ae8683459206b
gusu_vonderburg_v07_actionable_rows.csv	221516	e2d22911ba7308cb9d323885f2f7c86e5c4be0296d9a0fe521ad0aa3af180507
gusu_vonderburg_v11_summary.json	1141	9e8c6449b4ecb5e5724acbc12b3a1e8a7059d1e54a8ca4d41b848a5ea8e92a2e
gusu_vonderburg_v12_summary.json	1275	4e476c7cdb612c198dbe9fa0d77eb2c9a9d1fce782b052893c92cdb52fa42cb0
gusu_vonderburg_v13_summary.json	1076	0a03701f73648d8d79c1ab8664d5b49e600d6cfee75e55379ca25ca194be211c
resolve_cma_gusu_v11.py	8555	c48ff3e6b9e41aaec274dd747943a0ee32729f008469f872138bd3a9c16c5484
resolve_gusu_manifest.py	12041	df8b4d74ff85e5e2b0284d7c2a86a15657c9414f5f12261131b4fa9a30866b6e
split_book_spreads_v05.py	2767	ecb0a7743b378805bc7e343792f7a4710e9978236874a26eb772bd2b7fb86a75
