page_code,page_url,image_index,tag,src,srcset,alt,title,class,likely_book_image
GUANGZHOU_DAILY,https://huacheng.gz-cmc.com/pages/2026/06/17/eb9dd1f64b884f828e156a702afee4b9.html,12,img,https://oss.gz-cmc.com/news-static/huacheng/2024-03-25/images/text-comment-e8e04213.png,,评论,,article-operate-comment,0
GUANGZHOU_DAILY,https://huacheng.gz-cmc.com/pages/2026/06/17/eb9dd1f64b884f828e156a702afee4b9.html,13,img,https://oss.gz-cmc.com/news-static/huacheng/2024-03-25/images/text-collect-b1054ae5.png,,收藏,,article-operate-collect,0
GUANGZHOU_DAILY,https://huacheng.gz-cmc.com/pages/2026/06/17/eb9dd1f64b884f828e156a702afee4b9.html,14,img,https://oss.gz-cmc.com/news-static/huacheng/2024-03-25/images/text-like-67f9fd7d.png,,点赞,,article-operate-like,0
GUANGZHOU_DAILY,https://huacheng.gz-cmc.com/pages/2026/06/17/eb9dd1f64b884f828e156a702afee4b9.html,15,img,https://oss.gz-cmc.com/news-static/huacheng/2024-03-25/images/text-share-9200469e.png,,分享,,article-operate-share,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,1,img,https://www.wenwu.com/Administration/Content/images/ai-timing-loader.png,,计时中,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,2,img,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/48688695.png,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,3,img,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175828790.jpg,,,,fullScreen,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,4,img,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175828792.jpg,,,,fullScreen,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,5,img,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/175828794.jpg,,,,fullScreen,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,6,img,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/20890177.png,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,7,img,https://img.wanwang.xin/contents/sitefiles2046/10230983/images/20838971.jpg,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,8,img,https://img.wanwang.xin/Designer/Content/images/mob-ewm.png?_version=20250709210035,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,9,img,https://img.wanwang.xin/Designer/Content/images/ga_icon.png?_version=20250709210035,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,10,img,https://img.wanwang.xin/Designer/Content/images/ga_icon.png?_version=20250709210035,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,11,img,https://img.wanwang.xin/Designer/Content/images/ga_icon.png?_version=20250709210035,,,,,0
WENWU_LAUNCH,https://www.wenwu.com/newsinfo/11120643.html,12,img,https://img.wanwang.xin/Designer/Content/images/ga_icon.png?_version=20250709210035,,,,,0
SHUSEIDO_JP,https://shuseido.com/?pid=192492972,1,img,https://img07.shop-pro.jp/PA01255/114/PA01255114.gif?cmsp_timestamp=20260806103530,,衆星堂☆和本の販売・買取☆,,,0
SHUSEIDO_JP,https://shuseido.com/?pid=192492972,2,img,https://img.shop-pro.jp/common/nup.gif,,,,,0
SHUSEIDO_JP,https://shuseido.com/?pid=192492972,3,img,https://img.shop-pro.jp/common/ndown.gif,,,,,0
SHUSEIDO_JP,https://shuseido.com/?pid=192492972,4,img,https://img07.shop-pro.jp/PA01255/114/product/192492972.png?cmsp_timestamp=20260703140521,,,,,1
SHUSEIDO_JP,https://shuseido.com/?pid=192492972,5,img,https://img07.shop-pro.jp/PA01255/114/product/192492972.png?cmsp_timestamp=20260703140521,,,,zoom-tiny-image,1
SHUSEIDO_JP,https://shuseido.com/?pid=192492972,6,img,https://img07.shop-pro.jp/PA01255/114/qrcode.jpg?cmsp_timestamp=20260806103530,,,,,0
