working_220_id,museum_code,museum_name,accession,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date_or_period,medium_or_technique,classification_or_type,object_url,api_url,public_domain,original_image_url,print_image_url,web_image_url,additional_images,additional_image_count,downloadable_original,download_status,museum_core_version,museum_core_status,boundary_hypothesis,boundary_confidence,book_catalogue_no,book_plate_no,book_page,book_match_status,book_match_basis,book_match_confidence,notes
CMA:2025.36,CMA,Cleveland Museum of Art,2025.36,679036,object,,Mother with Sons Playing Music,母子奏樂圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.36,https://openaccess-api.clevelandart.org/api/artworks/2025.36,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.37,CMA,Cleveland Museum of Art,2025.37,679037,object,,Spring Swallows Bring Good Tidings,春燕報喜圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.37,https://openaccess-api.clevelandart.org/api/artworks/2025.37,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.38,CMA,Cleveland Museum of Art,2025.38,679039,object,,Peacocks with Mother and Son,孔雀母子圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.38,https://openaccess-api.clevelandart.org/api/artworks/2025.38,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.39,CMA,Cleveland Museum of Art,2025.39,679040,object,,Happy Birds in a Spring Garden,春苑喜鳥圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.39,https://openaccess-api.clevelandart.org/api/artworks/2025.39,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.40,CMA,Cleveland Museum of Art,2025.40,679051,object,,The God of War,關羽,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722) to Yongzheng reign (1723–35)']",1662–1735,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.40,https://openaccess-api.clevelandart.org/api/artworks/2025.40,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.41,CMA,Cleveland Museum of Art,2025.41,679056,object,,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.41,https://openaccess-api.clevelandart.org/api/artworks/2025.41,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.45,CMA,Cleveland Museum of Art,2025.45,679059,object,,The God of War,關羽,['China'],1950s,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.45,https://openaccess-api.clevelandart.org/api/artworks/2025.45,0,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.50,CMA,Cleveland Museum of Art,2025.50,679063,object,,Gusu Beauties of the Four Seasons–Autumn,四季姑蘇美人圖 – 秋,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.50,https://openaccess-api.clevelandart.org/api/artworks/2025.50,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.51,CMA,Cleveland Museum of Art,2025.51,679064,object,,Gusu Beauties of the Four Seasons–Winter,四季姑蘇美人圖 – 冬,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.51,https://openaccess-api.clevelandart.org/api/artworks/2025.51,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.52,CMA,Cleveland Museum of Art,2025.52,398760,object,,Beautiful Scenery of Putuoshan on the Southern Sea,南海普陀⼭勝景,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1700s,Printed in two shades of black and colored by hand,Print,https://clevelandart.org/art/2025.52,https://openaccess-api.clevelandart.org/api/artworks/2025.52,1,,,,,0,0,no_current_CMA_API_image,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
