working_220_id,museum_code,museum_name,accession,object_id,record_type,cover_accession_number,title_en,title_zh,culture,date_or_period,medium_or_technique,classification_or_type,object_url,api_url,public_domain,original_image_url,print_image_url,web_image_url,additional_images,additional_image_count,downloadable_original,download_status,museum_core_version,museum_core_status,boundary_hypothesis,boundary_confidence,book_catalogue_no,book_plate_no,book_page,book_match_status,book_match_basis,book_match_confidence,notes
CMA:2025.47,CMA,Cleveland Museum of Art,2025.47,679065,object,,Gusu Beauty–Mother and Son in a Summer Pavilion,姑蘇美人 – 夏日亭畔母子圖,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.47,https://openaccess-api.clevelandart.org/api/artworks/2025.47,1,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_print.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.48,CMA,Cleveland Museum of Art,2025.48,679061,object,,Gusu Beauties of the Four Seasons—Spring,四季姑蘇美人圖 – 春,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.48,https://openaccess-api.clevelandart.org/api/artworks/2025.48,1,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_print.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.49,CMA,Cleveland Museum of Art,2025.49,679062,object,,Gusu Beauty–Winter,姑蘇美人 – 冬,"['Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.49,https://openaccess-api.clevelandart.org/api/artworks/2025.49,1,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_full.tif,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_print.jpg,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.53,CMA,Cleveland Museum of Art,2025.53,679081,object,,Scenic View of Suzhou,姑蘇勝景,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Hanging scroll; multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.53,https://openaccess-api.clevelandart.org/api/artworks/2025.53,1,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_full.tif,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_print.jpg,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.57,CMA,Cleveland Museum of Art,2025.57,679085,object,,Two Beauties Inspect a Golden Lotus,雙美觀金蓮,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Hanging scroll; polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.57,https://openaccess-api.clevelandart.org/api/artworks/2025.57,1,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_full.tif,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_print.jpg,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.60,CMA,Cleveland Museum of Art,2025.60,679088,object,,"Picture of a Cat, a Bird, and a Crabapple",海棠綬帶富貴圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Kangxi reign (1662–1722) to Yongzheng reign (1723–35)']",1662–1735,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.60,https://openaccess-api.clevelandart.org/api/artworks/2025.60,1,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_full.tif,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_print.jpg,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.61,CMA,Cleveland Museum of Art,2025.61,679089,object,,"Scenic Spots of Jiangtian Temple on Jinshan, Built by Imperial Command",勅建金山江天寺勝境,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)']",1662–1722,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.61,https://openaccess-api.clevelandart.org/api/artworks/2025.61,1,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_full.tif,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_print.jpg,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.72,CMA,Cleveland Museum of Art,2025.72,679100,object,,A Newly-Cut Print of Illustrations from The Classic of Mountains and Seas,新刻山海經全圖,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.72,https://openaccess-api.clevelandart.org/api/artworks/2025.72,1,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_full.tif,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_print.jpg,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.73,CMA,Cleveland Museum of Art,2025.73,679101,object,,A Newly Cut Print: Scenes from the First Part of Outlaws of the Marsh,新刻前水滸,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.73,https://openaccess-api.clevelandart.org/api/artworks/2025.73,1,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_full.tif,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_print.jpg,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.76,CMA,Cleveland Museum of Art,2025.76,679104,object,,Li Wenzhong Clears the North,李文忠掃北,"['China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)']",1796–1820,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.76,https://openaccess-api.clevelandart.org/api/artworks/2025.76,1,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_full.tif,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_print.jpg,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.82.1,CMA,Cleveland Museum of Art,2025.82.1,678436,component,2025.82,Westlake Panorama,西湖全景,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",mid-1700s,One of four woodblock prints; ink on paper; printed with three woodblocks in shades of black,Print,https://clevelandart.org/art/2025.82.1,https://openaccess-api.clevelandart.org/api/artworks/2025.82.1,1,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.1/2025.82.1_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,component_children_replace_cover
CMA:2025.82.2,CMA,Cleveland Museum of Art,2025.82.2,678437,component,2025.82,Westlake Panorama,西湖全景,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",mid-1700s,One of four woodblock prints; ink on paper; printed with three wood blocks in shades of black,Print,https://clevelandart.org/art/2025.82.2,https://openaccess-api.clevelandart.org/api/artworks/2025.82.2,1,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.2/2025.82.2_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,component_children_replace_cover
CMA:2025.82.3,CMA,Cleveland Museum of Art,2025.82.3,678438,component,2025.82,Westlake Panorama,西湖全景,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",mid-1700s,One of four woodblock prints; ink on paper; printed with three woodblocks in shades of black,Print,https://clevelandart.org/art/2025.82.3,https://openaccess-api.clevelandart.org/api/artworks/2025.82.3,1,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.3/2025.82.3_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,component_children_replace_cover
CMA:2025.82.4,CMA,Cleveland Museum of Art,2025.82.4,678440,component,2025.82,Westlake Panorama,西湖全景,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",mid-1700s,One of four woodblock prints; ink on paper; printed with three woodblocks in shades of black,Print,https://clevelandart.org/art/2025.82.4,https://openaccess-api.clevelandart.org/api/artworks/2025.82.4,1,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_full.tif,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_print.jpg,https://openaccess-cdn.clevelandart.org/2025.82.4/2025.82.4_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,component_children_replace_cover
CMA:2025.83,CMA,Cleveland Museum of Art,2025.83,679111,object,,Music in the Jade Palace,瓊宮樂奏圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Multicolor woodblock print on paper,Print,https://clevelandart.org/art/2025.83,https://openaccess-api.clevelandart.org/api/artworks/2025.83,1,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_full.tif,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_print.jpg,https://openaccess-cdn.clevelandart.org/2025.83/2025.83_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.84,CMA,Cleveland Museum of Art,2025.84,679112,object,,Gathering Osmanthus,折桂圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Multicolor woodblock print on paper,Print,https://clevelandart.org/art/2025.84,https://openaccess-api.clevelandart.org/api/artworks/2025.84,1,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_full.tif,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_print.jpg,https://openaccess-cdn.clevelandart.org/2025.84/2025.84_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.87,CMA,Cleveland Museum of Art,2025.87,679115,object,,"Touring in Spring, Enjoying Summer",春遊夏賞,"['Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Multicolor woodblock print; two shades of ink on paper,Print,https://clevelandart.org/art/2025.87,https://openaccess-api.clevelandart.org/api/artworks/2025.87,1,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_full.tif,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_print.jpg,https://openaccess-cdn.clevelandart.org/2025.87/2025.87_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.88,CMA,Cleveland Museum of Art,2025.88,679116,object,,First Part of Story of The Western Chamber,全本西廂記,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.88,https://openaccess-api.clevelandart.org/api/artworks/2025.88,1,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_full.tif,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_print.jpg,https://openaccess-cdn.clevelandart.org/2025.88/2025.88_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.93,CMA,Cleveland Museum of Art,2025.93,679127,object,,Happy New Year,新春樂,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)']",1662–1722,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.93,https://openaccess-api.clevelandart.org/api/artworks/2025.93,1,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_full.tif,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_print.jpg,https://openaccess-cdn.clevelandart.org/2025.93/2025.93_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.94,CMA,Cleveland Museum of Art,2025.94,679128,object,,"Wife, Wealth, Sons, and a Salary",妻財子禄,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)']",1662–1722,Polychrome woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.94,https://openaccess-api.clevelandart.org/api/artworks/2025.94,1,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_full.tif,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_print.jpg,https://openaccess-cdn.clevelandart.org/2025.94/2025.94_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.97,CMA,Cleveland Museum of Art,2025.97,679266,object,,The Fierce Battle at the Red Cliff,赤壁鏖兵圖,"['China, Qing dynasty (1644–1911), Qianlong period (1736–95)']",1736–95,Hanging scroll; multicolor woodblock print on paper,Print,https://clevelandart.org/art/2025.97,https://openaccess-api.clevelandart.org/api/artworks/2025.97,1,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_full.tif,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_print.jpg,https://openaccess-cdn.clevelandart.org/2025.97/2025.97_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.108,CMA,Cleveland Museum of Art,2025.108,679347,object,,Bird on Pomegranate,石榴上的鳥兒,"['Southeast China, Suzhou, Qing dynasty (1644–1911)']",1700–1750,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.108,https://openaccess-api.clevelandart.org/api/artworks/2025.108,1,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_full.tif,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_print.jpg,https://openaccess-cdn.clevelandart.org/2025.108/2025.108_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.113,CMA,Cleveland Museum of Art,2025.113,679355,object,,Lotus Seeds and Water Caltrops,蓮蓬和菱角,"['Southeast China, Suzhou, Qing dynasty (1644–1911)']",1700–1750,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.113,https://openaccess-api.clevelandart.org/api/artworks/2025.113,1,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_full.tif,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_print.jpg,https://openaccess-cdn.clevelandart.org/2025.113/2025.113_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.116,CMA,Cleveland Museum of Art,2025.116,398727,object,,Grasshopper on Pomegranate,蚱蜢石榴,"['Southeast China, Suzhou, Qing dynasty (1644–1911)']",1700–1750,Woodblock printed in black and six other colors,Print,https://clevelandart.org/art/2025.116,https://openaccess-api.clevelandart.org/api/artworks/2025.116,1,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_full.tif,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_print.jpg,https://openaccess-cdn.clevelandart.org/2025.116/2025.116_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.118,CMA,Cleveland Museum of Art,2025.118,679368,object,,Bird on Lotus,蓮花和鸟,"['Southeast China, Suzhou, Qing dynasty (1644–1911)']",1700–1750,Multicolor woodblock print and embossing; ink and color on paper,Print,https://clevelandart.org/art/2025.118,https://openaccess-api.clevelandart.org/api/artworks/2025.118,1,https://openaccess-cdn.clevelandart.org/2025.118/2025.118_full.tif,https://openaccess-cdn.clevelandart.org/2025.118/2025.118_print.jpg,https://openaccess-cdn.clevelandart.org/2025.118/2025.118_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
CMA:2025.127,CMA,Cleveland Museum of Art,2025.127,679377,object,,Plum and Camellia in a Bronze Vase,博古花卉圖,"['Southeast China, Suzhou, Qing dynasty (1644–1911)']",1700–1750,Multicolor woodblock print; ink and color on paper,Print,https://clevelandart.org/art/2025.127,https://openaccess-api.clevelandart.org/api/artworks/2025.127,1,https://openaccess-cdn.clevelandart.org/2025.127/2025.127_full.tif,https://openaccess-cdn.clevelandart.org/2025.127/2025.127_print.jpg,https://openaccess-cdn.clevelandart.org/2025.127/2025.127_web.jpg,,0,1,official_full_tiff_CC0,CMA-v1.5,working_113_unit,CMA 2025.19–2025.128 + official record semantics,strong_structural_pending_book_concordance,,,,pending_catalogue_concordance,,,object_counts_once
