machine_id,accession,object_id,title_en,title_zh,culture,period,object_date,medium,dimensions,classification,department,credit_line,is_public_domain,object_url,api_url,primary_image,primary_image_small,additional_image_count,additional_images,has_primary_image,multipart_candidate,multipart_hint,api_checked_utc
MET:2025.371,2025.371,911850,View of Putuoshan on the Southern Sea,南海普陀山境,"China, Suzhou","Qing dynasty (1644–1911), Jiaqing period (1796–1820)",,Woodblock print; ink on paper with additional hand coloring,"Image: 22 7/8 × 42 1/16 in. (58.1 × 106.8 cm)
Overall with mounting: 22 7/8 × 42 1/16 in. (58.1 × 106.8 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Harry Payne Bingham, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911850,https://collectionapi.metmuseum.org/public/collection/v1/objects/911850,https://images.metmuseum.org/CRDImages/as/original/DP-41275-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41275-001.jpg,0,,1,0,,2026-08-18T03:30:53.527604+00:00
MET:2025.372,2025.372,911851,One Hundred Boys,百子图,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 40 3/8 × 22 7/16 in. (102.6 × 57 cm)
Overall with mounting: 40 3/8 × 22 7/16 in. (102.6 × 57 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911851,https://collectionapi.metmuseum.org/public/collection/v1/objects/911851,https://images.metmuseum.org/CRDImages/as/original/DP-41276-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41276-001.jpg,0,,1,0,,2026-08-18T03:30:53.903720+00:00
MET:2025.373,2025.373,911852,A Record of Tiger Hill in Suzhou,姑蘓虎丘誌,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",18th century,Woodblock print; ink on paper with additional hand coloring,"Image: 40 1/8 × 21 1/8 in. (101.9 × 53.7 cm)
Overall with mounting: 41 11/16 × 22 5/8 × 1/2 in. (105.9 × 57.5 × 1.3 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911852,https://collectionapi.metmuseum.org/public/collection/v1/objects/911852,https://images.metmuseum.org/CRDImages/as/original/DP-41277-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41277-001.jpg,0,,1,0,,2026-08-18T03:30:54.317241+00:00
MET:2025.374,2025.374,911854,Ladies with Peony Flowers,牡丹仕女圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 29 1/2 × 19 in. (74.9 × 48.3 cm)
Overall with mounting: 29 1/2 × 19 in. (74.9 × 48.3 cm)",Prints,Asian Art,"Purchase, Gift of Mrs. Samuel T. Peters, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911854,https://collectionapi.metmuseum.org/public/collection/v1/objects/911854,https://images.metmuseum.org/CRDImages/as/original/DP-41278-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41278-001.jpg,0,,1,0,,2026-08-18T03:30:54.593266+00:00
MET:2025.375,2025.375,911857,The Holy Emperor Lord Guan,關聖帝君,"China, Suzhou",Ming dynasty (1368–1644)?,,Woodblock print; ink on paper with additional hand coloring,"Image: 18 7/8 × 21 1/4 in. (47.9 × 54 cm)
Overall with mounting: 18 7/8 × 21 1/4 in. (47.9 × 54 cm)",Prints,Asian Art,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911857,https://collectionapi.metmuseum.org/public/collection/v1/objects/911857,https://images.metmuseum.org/CRDImages/as/original/DP-40846-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40846-001.jpg,0,,1,0,,2026-08-18T03:30:54.769471+00:00
MET:2025.376,2025.376,911858,New Year’s Day,歲朝圖,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",1747,Woodblock print; ink on paper with additional hand coloring,"Image: 37 × 21 1/16 in. (94 × 53.5 cm)
Overall with mounting: 40 1/2 × 22 11/16 in. (102.9 × 57.6 cm)",Prints,Asian Art,"Florence and Herbert Irving Acquisitions Fund for Asian Art, 2025",1,https://www.metmuseum.org/art/collection/search/911858,https://collectionapi.metmuseum.org/public/collection/v1/objects/911858,https://images.metmuseum.org/CRDImages/as/original/DP-41280-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41280-001.jpg,0,,1,0,,2026-08-18T03:30:55.303791+00:00
MET:2025.377,2025.377,911860,Scenic Sites of Famous Mount Putuo on the Southern Sea,南海名山普陀勝境,"China, Suzhou","Qing dynasty (1644–1911), Xianfeng period (1851–61)",,Woodblock print; ink on paper,"Image: 44 3/4 × 23 13/16 in. (113.7 × 60.5 cm)
Overall with mounting: 77 × 28 11/16 in. (195.6 × 72.9 cm)
Overall with knobs: 77 × 32 5/8 in. (195.6 × 82.9 cm)",Prints,Asian Art,"Purchase, John Stewart Kennedy Fund, by exchange, 2025",1,https://www.metmuseum.org/art/collection/search/911860,https://collectionapi.metmuseum.org/public/collection/v1/objects/911860,https://images.metmuseum.org/CRDImages/as/original/DP-41281-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41281-002.jpg,1,https://images.metmuseum.org/CRDImages/as/original/DP-41281-001.jpg,1,0,,2026-08-18T03:30:55.711776+00:00
MET:2025.378,2025.378,911861,Gusu Beauty in Winter,姑蘇美人 – 冬,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 32 3/8 × 23 3/8 in. (82.2 × 59.4 cm)
Panel: 44 1/8 × 24 1/4 in. (112.1 × 61.6 cm)",Prints,Asian Art,"Purchase, Jane and Raphael Bernstein Gift, 2025",1,https://www.metmuseum.org/art/collection/search/911861,https://collectionapi.metmuseum.org/public/collection/v1/objects/911861,https://images.metmuseum.org/CRDImages/as/original/DP-41282-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41282-001.jpg,0,,1,0,,2026-08-18T03:30:56.108420+00:00
MET:2025.380,2025.380,911868,"Woman teaching children to read and write calligraphy, from four-print set “Women teaching children the four accomplishments”",姑蘇文人 – 書,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 43 1/8 × 23 9/16 in. (109.5 × 59.8 cm)
Frame: 43 3/4 × 24 in. (111.1 × 61 cm)",Prints,Asian Art,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911868,https://collectionapi.metmuseum.org/public/collection/v1/objects/911868,https://images.metmuseum.org/CRDImages/as/original/DP-41284-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41284-001.jpg,0,,1,1,\bfour[- ](?:panel|part|sheet|print),2026-08-18T03:30:56.423080+00:00
MET:2025.382,2025.382,911872,"Woman teaching children to play the guqin zither, from four-print set “Women teaching children the four accomplishments""",姑蘇文人 – 琴,"China, Suzhou","Qing dynasty (1644–1911), Qianlong period (1736–95)",,Woodblock print; ink on paper with additional hand coloring,"Image: 44 1/4 × 24 1/2 in. (112.4 × 62.2 cm)
Sheet: 44 5/8 × 24 7/8 in. (113.3 × 63.2 cm)",Prints,Asian Art,"Douglas Dillon Fund, 2025",1,https://www.metmuseum.org/art/collection/search/911872,https://collectionapi.metmuseum.org/public/collection/v1/objects/911872,https://images.metmuseum.org/CRDImages/as/original/DP-41286-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-41286-001.jpg,0,,1,1,\bfour[- ](?:panel|part|sheet|print),2026-08-18T03:30:56.729266+00:00
