machine_id,accession,accession_base,component_suffix,object_id,inferred_record_kind,inferred_cover_accession,multipart_group_size_records,title_en,title_zh,culture,date,type,technique,provenance_raw,acquisition_mode,share_license_status,object_url,web_image_url,print_image_url,full_image_url,has_web_image,has_print_image,has_full_image,in_core_2025_purchase_block,physical_print_contribution_inferred,cma_jpeg_caption_endpoint,cma_tiff_endpoint,updated_at
CMA:2025.47,2025.47,2025.47,,679065,object,,1,Gusu Beauty – Mother and Son in a Summer Pavilion,姑蘇美人 – 夏日亭畔母子圖,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.47,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_web.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_print.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.47,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.47,2026-08-15 11:17:58.748000
CMA:2025.48,2025.48,2025.48,,679061,object,,1,Gusu Beauties of the Four Seasons—Spring,四季姑蘇美人圖 – 春,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Multicolor woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.48,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_web.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_print.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.48,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.48,2026-08-15 11:17:58.710000
CMA:2025.49,2025.49,2025.49,,679062,object,,1,Gusu Beauty – Winter,姑蘇美人 – 冬,"Southeast China, Suzhou Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Multicolor woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.49,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_web.jpg,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_print.jpg,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.49,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.49,2026-08-15 11:17:58.721000
CMA:2025.53,2025.53,2025.53,,679081,object,,1,Scenic View of Suzhou,姑蘇勝景,"Southeast China, Suzhou, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; multicolor woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.53,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_web.jpg,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_print.jpg,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.53,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.53,2026-08-13 11:44:38.309000
CMA:2025.57,2025.57,2025.57,,679085,object,,1,Two Beauties Inspect a Golden Lotus,雙美觀金蓮,"China, Qing dynasty (1644–1911), Qianlong period (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.57,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_web.jpg,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_print.jpg,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.57,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.57,2026-08-03 14:26:48.476000
CMA:2025.60,2025.60,2025.60,,679088,object,,1,"Picture of a Cat, a Bird, and a Crabapple",海棠綬帶富貴圖,"Southeast China, Suzhou, Qing dynasty (1644–1911), Kangxi reign (1662–1722) to Yongzheng reign (1723–35)",1662–1735,Print,Multicolor woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.60,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_web.jpg,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_print.jpg,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.60,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.60,2026-08-15 11:17:58.758000
CMA:2025.61,2025.61,2025.61,,679089,object,,1,"Scenic Spots of Jiangtian Temple on Jinshan, Built by Imperial Command",勅建金山江天寺勝境,"China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)",1662–1722,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.61,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_web.jpg,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_print.jpg,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.61,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.61,2026-08-03 14:26:50.833000
CMA:2025.72,2025.72,2025.72,,679100,object,,1,A Newly-Cut Print of Illustrations from The Classic of Mountains and Seas,新刻山海經全圖,"China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)",1796–1820,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.72,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_web.jpg,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_print.jpg,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.72,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.72,2026-05-29 09:16:04.365000
CMA:2025.73,2025.73,2025.73,,679101,object,,1,A Newly Cut Print: Scenes from the First Part of Outlaws of the Marsh,新刻前水滸,"China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)",1796–1820,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.73,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_web.jpg,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_print.jpg,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.73,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.73,2026-05-29 09:16:04.392000
CMA:2025.76,2025.76,2025.76,,679104,object,,1,Li Wenzhong Clears the North,李文忠掃北,"China, Qing dynasty (1644–1911), Jiaqing period (1796–1820)",1796–1820,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.76,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_web.jpg,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_print.jpg,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.76,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.76,2026-05-29 09:16:04.704000
