machine_id,accession,accession_base,component_suffix,object_id,inferred_record_kind,inferred_cover_accession,multipart_group_size_records,title_en,title_zh,culture,date,type,technique,provenance_raw,acquisition_mode,share_license_status,object_url,web_image_url,print_image_url,full_image_url,has_web_image,has_print_image,has_full_image,in_core_2025_purchase_block,physical_print_contribution_inferred,cma_jpeg_caption_endpoint,cma_tiff_endpoint,updated_at
CMA:2025.29,2025.29,2025.29,,678663,object,,1,Rise in Rank and Attain Wealth,加官進祿,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.29,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_print.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.29,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.29,2026-06-26 11:50:57.501000
CMA:2025.30,2025.30,2025.30,,678664,object,,1,The Two Immortals of Harmony and Unity,和合二仙,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.30,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.30,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.30,2026-06-26 11:50:57.511000
CMA:2025.31,2025.31,2025.31,,679031,object,,1,The Two Immortals of Harmony and Unity,和合二仙,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_print.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.31,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.31,2026-06-26 11:50:57.518000
CMA:2025.32,2025.32,2025.32,,679032,object,,1,The Two Immortals of Harmony and Unity,和合二仙,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_print.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,1,1,1,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.32,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.32,2026-05-29 09:15:56.743000
CMA:2025.33,2025.33,2025.33,,679033,object,,1,The God of War,關羽,"China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)",1662–1722,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.33,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.33,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.33,2026-06-26 11:50:57.524000
CMA:2025.34,2025.34,2025.34,,679034,object,,1,Playing with an Infant,嬰戲圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.34,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.34,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.34,2026-05-29 09:15:57.199000
CMA:2025.35,2025.35,2025.35,,679035,object,,1,Double Happiness Character,雙喜字,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.35,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.35,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.35,2026-05-29 09:15:57.312000
CMA:2025.36,2025.36,2025.36,,679036,object,,1,Mother with Sons Playing Music,母子奏樂圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.36,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.36,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.36,2026-05-29 09:15:57.718000
CMA:2025.37,2025.37,2025.37,,679037,object,,1,Spring Swallows Bring Good Tidings,春燕報喜圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.37,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.37,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.37,2026-05-29 09:15:57.622000
CMA:2025.38,2025.38,2025.38,,679039,object,,1,Peacocks with Mother and Son,孔雀母子圖,"China, Qing dynasty (1644–1911), Qianlong reign (1736–95)",1736–95,Print,Polychrome woodblock print; ink and color on paper,"(Christer von der Burg, sold to the Cleveland Museum of Art) (?–2025); The Cleveland Museum of Art, Cleveland, OH (2025–)",sold,CC0,https://clevelandart.org/art/2025.38,,,,0,0,0,1,1,https://openaccess-api.clevelandart.org/api/collectiononline/jpeg_and_caption/2025.38,https://openaccess-api.clevelandart.org/api/collectiononline/tiff/2025.38,2026-05-29 09:15:57.795000
