base_accession,row_count,accessions,record_types,titles,cover_links
2025.82,5,2025.82|2025.82.1|2025.82.2|2025.82.3|2025.82.4,cover|component|component|component|component,Westlake Panorama | Westlake Panorama | Westlake Panorama | Westlake Panorama | Westlake Panorama,2025.82|2025.82|2025.82|2025.82
2025.91,3,2025.91|2025.91.a|2025.91.b,cover|part|part,Two Prints: Mu Yuying Smashes the Gate of Heaven Formation; Happy Fisherfolk | Mu Yuying Smashes the Gate of Heaven Formation | Happy Fisherfolk,2025.91|2025.91
2025.92,4,2025.92|2025.92.a|2025.92.b|2025.92.c,cover|part|part|part,Three prints: Zhang Qian Chances upon Douniu Celestial Palace; The Twenty Four Paragons of Filial Piety; A Scene of Early Spring | Zhang Qian Chances upon Douniu Celestial Palace | The Twenty Four Paragons of Filial Piety | A Scene of Early Spring,2025.92|2025.92|2025.92
