machine_id,accession,accession_base,id,record_type,cover_accession_number,title_en,title_zh,culture,creation_date,type,technique,share_license_status,legal_status,accession_date,url,api_url,image_web,image_print,image_full,has_web_image,has_print_image,has_full_image,provenance_raw,acquisition_mode,api_http_status,api_checked_utc
CMA:2025.29,2025.29,2025.29,678663,object,,Rise in Rank and Attain Wealth,加官進祿,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.29,https://openaccess-api.clevelandart.org/api/artworks/2025.29,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_print.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:15.407465+00:00
CMA:2025.30,2025.30,2025.30,678664,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.30,https://openaccess-api.clevelandart.org/api/artworks/2025.30,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:15.608115+00:00
CMA:2025.31,2025.31,2025.31,679031,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.31,https://openaccess-api.clevelandart.org/api/artworks/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_print.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:15.842956+00:00
CMA:2025.32,2025.32,2025.32,679032,object,,The Two Immortals of Harmony and Unity,和合二仙,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.32,https://openaccess-api.clevelandart.org/api/artworks/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_print.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,1,1,1,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 1}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 2}]",sold,200,2026-08-18T03:25:16.056561+00:00
CMA:2025.33,2025.33,2025.33,679033,object,,The God of War,關羽,"['China, Qing dynasty (1644–1911), Kangxi reign (1622–1722)']",1662–1722,Print,Hanging scroll; polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.33,https://openaccess-api.clevelandart.org/api/artworks/2025.33,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:16.242437+00:00
CMA:2025.34,2025.34,2025.34,679034,object,,Playing with an Infant,嬰戲圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.34,https://openaccess-api.clevelandart.org/api/artworks/2025.34,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:16.428574+00:00
CMA:2025.35,2025.35,2025.35,679035,object,,Double Happiness Character,雙喜字,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.35,https://openaccess-api.clevelandart.org/api/artworks/2025.35,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:16.626971+00:00
CMA:2025.36,2025.36,2025.36,679036,object,,Mother with Sons Playing Music,母子奏樂圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.36,https://openaccess-api.clevelandart.org/api/artworks/2025.36,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:17.030357+00:00
CMA:2025.37,2025.37,2025.37,679037,object,,Spring Swallows Bring Good Tidings,春燕報喜圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.37,https://openaccess-api.clevelandart.org/api/artworks/2025.37,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": [], ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:17.222337+00:00
CMA:2025.38,2025.38,2025.38,679039,object,,Peacocks with Mother and Son,孔雀母子圖,"['China, Qing dynasty (1644–1911), Qianlong reign (1736–95)']",1736–95,Print,Polychrome woodblock print; ink and color on paper,CC0,accessioned,2025-03-03T05:00:00Z,https://clevelandart.org/art/2025.38,https://openaccess-api.clevelandart.org/api/artworks/2025.38,,,,0,0,0,"[{""description"": ""(Christer von der Burg, sold to the Cleveland Museum of Art)"", ""citations"": [], ""footnotes"": null, ""date"": ""?–2025"", ""sortorder"": 2}, {""description"": ""The Cleveland Museum of Art, Cleveland, OH"", ""citations"": [], ""footnotes"": null, ""date"": ""2025–"", ""sortorder"": 3}]",sold,200,2026-08-18T03:25:17.421252+00:00
