working_220_id,pool_basis,museum_code,accession,object_id,record_type,acquisition_mode,title_en,title_zh,object_url,web_image_url,original_image_url,public_domain
CMA:2025.21,CMA_2025_vonderburg_API_has_image_web,CMA,2025.21,678477,object,sold,Part of Story of The Western Chamber,一部西廂總,https://clevelandart.org/art/2025.21,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_web.jpg,https://openaccess-cdn.clevelandart.org/2025.21/2025.21_full.tif,1
CMA:2025.23,CMA_2025_vonderburg_API_has_image_web,CMA,2025.23,678529,object,sold,Mother and Sons,母子圖,https://clevelandart.org/art/2025.23,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_web.jpg,https://openaccess-cdn.clevelandart.org/2025.23/2025.23_full.tif,1
CMA:2025.24,CMA_2025_vonderburg_API_has_image_web,CMA,2025.24,678537,object,sold,A Quatrain about Peonies,牡丹一絕句,https://clevelandart.org/art/2025.24,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_web.jpg,https://openaccess-cdn.clevelandart.org/2025.24/2025.24_full.tif,1
CMA:2025.29,CMA_2025_vonderburg_API_has_image_web,CMA,2025.29,678663,object,sold,Rise in Rank and Attain Wealth,加官進祿,https://clevelandart.org/art/2025.29,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_web.jpg,https://openaccess-cdn.clevelandart.org/2025.29/2025.29_full.tif,1
CMA:2025.31,CMA_2025_vonderburg_API_has_image_web,CMA,2025.31,679031,object,sold,The Two Immortals of Harmony and Unity,和合二仙,https://clevelandart.org/art/2025.31,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_web.jpg,https://openaccess-cdn.clevelandart.org/2025.31/2025.31_full.tif,1
CMA:2025.32,CMA_2025_vonderburg_API_has_image_web,CMA,2025.32,679032,object,sold,The Two Immortals of Harmony and Unity,和合二仙,https://clevelandart.org/art/2025.32,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_web.jpg,https://openaccess-cdn.clevelandart.org/2025.32/2025.32_full.tif,1
CMA:2025.42,CMA_2025_vonderburg_API_has_image_web,CMA,2025.42,679053,object,sold,Lady watching a swallow,,https://clevelandart.org/art/2025.42,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_web.jpg,https://openaccess-cdn.clevelandart.org/2025.42/2025.42_full.tif,1
CMA:2025.43,CMA_2025_vonderburg_API_has_image_web,CMA,2025.43,679054,object,sold,Lady with water basin,,https://clevelandart.org/art/2025.43,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_web.jpg,https://openaccess-cdn.clevelandart.org/2025.43/2025.43_full.tif,1
CMA:2025.44,CMA_2025_vonderburg_API_has_image_web,CMA,2025.44,679052,object,sold,Zhang Xian Shoots the Heavenly Dog,張仙射天狗,https://clevelandart.org/art/2025.44,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_web.jpg,https://openaccess-cdn.clevelandart.org/2025.44/2025.44_full.tif,1
CMA:2025.46,CMA_2025_vonderburg_API_has_image_web,CMA,2025.46,679060,object,sold,Gusu Beauties of the Four Seasons–Summer,四季姑蘇美人圖 - 夏,https://clevelandart.org/art/2025.46,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_web.jpg,https://openaccess-cdn.clevelandart.org/2025.46/2025.46_full.tif,1
CMA:2025.47,CMA_2025_vonderburg_API_has_image_web,CMA,2025.47,679065,object,sold,Gusu Beauty–Mother and Son in a Summer Pavilion,姑蘇美人 – 夏日亭畔母子圖,https://clevelandart.org/art/2025.47,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_web.jpg,https://openaccess-cdn.clevelandart.org/2025.47/2025.47_full.tif,1
CMA:2025.48,CMA_2025_vonderburg_API_has_image_web,CMA,2025.48,679061,object,sold,Gusu Beauties of the Four Seasons—Spring,四季姑蘇美人圖 – 春,https://clevelandart.org/art/2025.48,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_web.jpg,https://openaccess-cdn.clevelandart.org/2025.48/2025.48_full.tif,1
CMA:2025.49,CMA_2025_vonderburg_API_has_image_web,CMA,2025.49,679062,object,sold,Gusu Beauty–Winter,姑蘇美人 – 冬,https://clevelandart.org/art/2025.49,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_web.jpg,https://openaccess-cdn.clevelandart.org/2025.49/2025.49_full.tif,1
CMA:2025.53,CMA_2025_vonderburg_API_has_image_web,CMA,2025.53,679081,object,sold,Scenic View of Suzhou,姑蘇勝景,https://clevelandart.org/art/2025.53,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_web.jpg,https://openaccess-cdn.clevelandart.org/2025.53/2025.53_full.tif,1
CMA:2025.57,CMA_2025_vonderburg_API_has_image_web,CMA,2025.57,679085,object,sold,Two Beauties Inspect a Golden Lotus,雙美觀金蓮,https://clevelandart.org/art/2025.57,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_web.jpg,https://openaccess-cdn.clevelandart.org/2025.57/2025.57_full.tif,1
CMA:2025.60,CMA_2025_vonderburg_API_has_image_web,CMA,2025.60,679088,object,sold,"Picture of a Cat, a Bird, and a Crabapple",海棠綬帶富貴圖,https://clevelandart.org/art/2025.60,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_web.jpg,https://openaccess-cdn.clevelandart.org/2025.60/2025.60_full.tif,1
CMA:2025.61,CMA_2025_vonderburg_API_has_image_web,CMA,2025.61,679089,object,sold,"Scenic Spots of Jiangtian Temple on Jinshan, Built by Imperial Command",勅建金山江天寺勝境,https://clevelandart.org/art/2025.61,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_web.jpg,https://openaccess-cdn.clevelandart.org/2025.61/2025.61_full.tif,1
CMA:2025.72,CMA_2025_vonderburg_API_has_image_web,CMA,2025.72,679100,object,sold,A Newly-Cut Print of Illustrations from The Classic of Mountains and Seas,新刻山海經全圖,https://clevelandart.org/art/2025.72,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_web.jpg,https://openaccess-cdn.clevelandart.org/2025.72/2025.72_full.tif,1
CMA:2025.73,CMA_2025_vonderburg_API_has_image_web,CMA,2025.73,679101,object,sold,A Newly Cut Print: Scenes from the First Part of Outlaws of the Marsh,新刻前水滸,https://clevelandart.org/art/2025.73,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_web.jpg,https://openaccess-cdn.clevelandart.org/2025.73/2025.73_full.tif,1
CMA:2025.76,CMA_2025_vonderburg_API_has_image_web,CMA,2025.76,679104,object,sold,Li Wenzhong Clears the North,李文忠掃北,https://clevelandart.org/art/2025.76,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_web.jpg,https://openaccess-cdn.clevelandart.org/2025.76/2025.76_full.tif,1
